初始化类别中心1:
488	8	1.64	
类别1:
恢复	67	3	4.48	
性用器	58	3	5.17	
广告杯	63	3	4.76	
带喷头	59	3	5.08	
带刻度	67	3	4.48	
小衣柜	62	3	4.84	
宫廷风	63	3	4.76	
婴儿碗	67	3	4.48	
女套装	67	3	4.48	
女三角	64	3	4.69	
地面	63	3	4.76	
喂奶服	65	3	4.62	
吸管杯	59	3	5.08	
初生儿	58	3	5.17	
伊兰特	67	3	4.48	
产妇鞋	61	3	4.92	
三轮摩托车	59	3	5.08	
u985	61	3	4.92	
52度	62	3	4.84	
1972	61	3	4.92	
100片	58	3	5.17	
鸭掌	66	2	3.03	
高腰裙	59	2	3.39	
高脚杯	61	2	3.28	
飘阳绿	65	2	3.08	
风车	61	2	3.28	
靠包	68	2	2.94	
雷伊	59	2	3.39	
阴道炎	59	2	3.39	
门锁	59	2	3.39	
长袖衬	63	2	3.17	
镂空靴	59	2	3.39	
银边	61	2	3.28	
钻石膜	61	2	3.28	
金奇仕	62	2	3.23	
过滤器	61	2	3.28	
软化剂	61	2	3.28	
足友	66	2	3.03	
超合金	61	2	3.28	
调教	68	2	2.94	
蓝田玉	67	2	2.99	
莲蓬头	61	2	3.28	
茶水柜	66	2	3.03	
花样年华	62	2	3.23	
花旦	66	2	3.03	
舞台灯光	64	2	3.12	
胡子	63	2	3.17	
美雪	60	2	3.33	
美甲店	60	2	3.33	
绿松石	65	2	3.08	
竹编	59	2	3.39	
百草味	60	2	3.33	
痘疤	59	2	3.39	
疫苗	63	2	3.17	
甘栗	67	2	2.99	
玄关帘	65	2	3.08	
烤海苔	65	2	3.08	
演出鞋	63	2	3.17	
演出裙	61	2	3.28	
溜冰鞋	67	2	2.99	
游泳衣	60	2	3.33	
海滩裙	62	2	3.23	
洗护用品	60	2	3.33	
沙漠	67	2	2.99	
水族	68	2	2.94	
款潮	64	2	3.12	
欣欣	66	2	3.03	
杯碟	59	2	3.39	
明装	64	2	3.12	
方巾	60	2	3.33	
拉直膏	60	2	3.33	
拉丝	64	2	3.12	
彩贴	63	2	3.17	
常青	68	2	2.94	
完美芦荟胶	67	2	2.99	
娇爽	66	2	3.03	
妮圣	68	2	2.94	
女戒	66	2	3.03	
太空泥	60	2	3.33	
大哥	63	2	3.17	
可吞咽	67	2	2.99	
去痘痘	65	2	3.08	
原配	59	2	3.39	
卡卡西	65	2	3.08	
南方寝饰	63	2	3.17	
创意碗	65	2	3.08	
冷冻柜	60	2	3.33	
冬被芯	66	2	3.03	
公对公	66	2	3.03	
全身白	62	2	3.23	
兔宝宝	61	2	3.28	
兑换券	63	2	3.17	
免税店	61	2	3.28	
储物箱	59	2	3.39	
停车架	67	2	2.99	
休闲健身	64	2	3.12	
企鹅	63	2	3.17	
亮丝	65	2	3.08	
享瘦	59	2	3.39	
乌木	65	2	3.08	
七孔	64	2	3.12	
unes	59	2	3.39	
u817	62	2	3.23	
oliver	62	2	3.23	
nb90	60	2	3.33	
julius	66	2	3.03	
9个月	59	2	3.39	
90cm	62	2	3.23	
60岁	65	2	3.08	
16mm	62	2	3.23	
鱼尾纹	65	1	1.54	
高鑫	67	1	1.49	
骐达	67	1	1.49	
香道	66	1	1.52	
香体露	65	1	1.54	
颐达	64	1	1.56	
闭口	67	1	1.49	
钢圈	67	1	1.49	
针扣	67	1	1.49	
酸奶瓶	65	1	1.54	
软包床	66	1	1.52	
躺床	67	1	1.49	
资料架	64	1	1.56	
贞玉吉	64	1	1.56	
贝倍舒	63	1	1.59	
行书	64	1	1.56	
蛋糕裙	67	1	1.49	
虾皮	67	1	1.49	
荧光绿	65	1	1.54	
苏州樱花	64	1	1.56	
花盆架	63	1	1.59	
花呢	65	1	1.54	
芙蓉	66	1	1.52	
自粘袋	67	1	1.49	
腌料	64	1	1.56	
脱脂	64	1	1.56	
胡须	64	1	1.56	
肩带	66	1	1.52	
肉酱	67	1	1.49	
翘臀	64	1	1.56	
美工	65	1	1.54	
绿茶味	64	1	1.56	
组合工具	65	1	1.54	
纸巾架	67	1	1.49	
红木	66	1	1.52	
精确	65	1	1.54	
精梳棉	64	1	1.56	
粘贴画	63	1	1.59	
粉底	64	1	1.56	
管道	66	1	1.52	
离子烫	63	1	1.59	
石材	67	1	1.49	
短檐	64	1	1.56	
睡枕	64	1	1.56	
真题	66	1	1.52	
番茄	67	1	1.49	
男鞋子	64	1	1.56	
生意兴隆	65	1	1.54	
玫瑰太太	64	1	1.56	
玩具堡	65	1	1.54	
狩猎者	66	1	1.52	
火红点	64	1	1.56	
湖笔	64	1	1.56	
游戏周边	65	1	1.54	
清热	65	1	1.54	
涂色	65	1	1.54	
活血	63	1	1.59	
洁肤乳	66	1	1.52	
沙芬	64	1	1.56	
正牌	67	1	1.49	
桐乡	63	1	1.59	
无线电	63	1	1.59	
教科书	67	1	1.49	
拉直板	67	1	1.49	
戈美其	66	1	1.52	
思域	67	1	1.49	
快易典	63	1	1.59	
御涵	65	1	1.54	
小黄瓜	64	1	1.56	
小音响	64	1	1.56	
宠物龟	66	1	1.52	
宝宝碗	65	1	1.54	
安钛克	64	1	1.56	
安奈秀	65	1	1.54	
学生席	67	1	1.49	
女纯棉	63	1	1.59	
女儿童	64	1	1.56	
头部	63	1	1.59	
太太	65	1	1.54	
大昌	65	1	1.54	
多肽	63	1	1.59	
墨尔本	66	1	1.52	
圆珠	66	1	1.52	
喊麦	67	1	1.49	
哈弗	63	1	1.59	
品味本铺	64	1	1.56	
吐司	66	1	1.52	
吊坠盒	63	1	1.59	
吉利	67	1	1.49	
史迪奇	65	1	1.54	
发育宝	64	1	1.56	
发泄	63	1	1.59	
原装正版	63	1	1.59	
压面机	64	1	1.56	
